name;director;runtime;release;music;budget;boxoffice;tomatometer;audiencescore;budget_adj;boxoffice_adj;Franchise
1: Dr. No;Terence Young;109;05.10.1962;Monty Norman;1,1;59,5;92;82;9,296618182;502,8625289;James Bond
2: From Russia with Love;Terence Young;115;10.10.1963;John Barry;2;79;95;84;16,69596735;659,4907102;James Bond
3: Goldfinger;Guy Hamilton;110;17.09.1964;John Barry;3;125;99;89;24,72770553;1030,321064;James Bond
4: Thunderball;Terence Young;130;09.12.1965;John Barry;9;141,2;86;73;73,02553822;1145,689555;James Bond
5: You Only Live Twice;Lewis Gilbert;117;12.06.1967;John Barry ;9,5;111,6;73;68;72,80763927;855,2981624;James Bond
6: On Her Majesty's Secret Service;Peter R. Hunt;142;18.12.1969;John Barry;7;82;81;64;48,78507042;571,4822535;James Bond
7: Diamonds Are Forever;Guy Hamilton;120;14.12.1971;John Barry;7,2;116;64;58;45,45948714;732,4028483;James Bond
8: Live and Let Die;Guy Hamilton;121;27.06.1973;George Martin;7;161,8;66;64;40,30628378;931,6509595;James Bond
9: The Man with the Golden Gun;Guy Hamilton;125;19.12.1974;John Barry;7;97,6;41;55;36,29404766;506,0427216;James Bond
10: The Spy Who Loved Me;Lewis Gilbert;125;07.07.1977;Marvin Hamlisch;13,5;185,4;80;76;56,9454613;782,0510018;James Bond
11: Moonraker ;Lewis Gilbert;126;26.06.1979;John Barry;34;210,3;60;43;119,7704168;740,8152546;James Bond
12: For Your Eyes Only;John Glen;127;24.06.1981;Bill Conti;28;195,3;71;64;78,7285785;549,131835;James Bond
13: Octopussy;John Glen;131;06.06.1983;John Barry;27,5;187,5;43;47;70,58802711;481,282003;James Bond
14: A View to a Kill;John Glen;131;22.05.1985;John Barry ;30;152,4;38;40;71,30192129;362,2137601;James Bond
15: The Living Daylights;John Glen;131;29.06.1987;John Barry;40;191,2;73;66;90,00026403;430,201262;James Bond
16: Licence to Kill;John Glen;133;13.06.1989;Michael Kamen;32;156,1;78;61;65,99374025;321,9257142;James Bond
